"TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","PTS","PLUS_MINUS","Season"
"1610612748","Miami Heat","82","36","46","0.439","3986","2801","6382","0.439","312","899","0.347","1236","1708","0.724","7150","-126","2001-02"
"1610612749","Milwaukee Bucks","82","41","41","0.5","3981","3041","6577","0.462","593","1583","0.375","1321","1767","0.748","7996","-18","2001-02"
"1610612750","Minnesota Timberwolves","82","50","32","0.61","3961","3175","6887","0.461","396","1047","0.378","1399","1754","0.798","8145","277","2001-02"
"1610612751","New Jersey Nets","82","52","30","0.634","3966","3042","6816","0.446","403","1194","0.338","1402","1907","0.735","7889","341","2001-02"
"1610612752","New York Knicks","82","30","52","0.366","3961","2817","6520","0.432","474","1344","0.353","1406","1786","0.787","7514","-327","2001-02"
"1610612753","Orlando Magic","82","44","38","0.537","3966","3087","6892","0.448","620","1660","0.373","1446","1917","0.754","8240","129","2001-02"
"1610612755","Philadelphia 76ers","82","43","39","0.524","3946","2804","6436","0.436","214","715","0.299","1639","2104","0.779","7461","131","2001-02"
"1610612756","Phoenix Suns","82","36","46","0.439","3966","3097","6934","0.447","358","1096","0.327","1250","1630","0.767","7802","-56","2001-02"
"1610612757","Portland Trail Blazers","82","49","33","0.598","3966","3004","6671","0.45","466","1318","0.354","1451","1901","0.763","7925","245","2001-02"
"1610612758","Sacramento Kings","82","61","21","0.744","3951","3267","7003","0.467","426","1160","0.367","1618","2154","0.751","8578","624","2001-02"
"1610612759","San Antonio Spurs","82","58","24","0.707","3971","2913","6363","0.458","438","1211","0.362","1668","2249","0.742","7932","509","2001-02"
"1610612760","Seattle SuperSonics","82","45","37","0.549","3966","3131","6681","0.469","489","1292","0.378","1263","1672","0.755","8014","248","2001-02"
"1610612761","Toronto Raptors","82","42","40","0.512","3951","2919","6727","0.434","387","1109","0.349","1269","1717","0.739","7494","-36","2001-02"
"1610612762","Utah Jazz","82","44","38","0.537","3965.94","2869","6374","0.45","280","842","0.333","1853","2430","0.763","7871","73","2001-02"
"1610612764","Washington Wizards","82","37","45","0.451","3946","2938","6664","0.441","305","786","0.388","1428","1866","0.765","7609","-115","2001-02"
"1610612737","Atlanta Hawks","82","35","47","0.427","3981","2859","6434","0.444","402","1141","0.352","1594","2011","0.793","7714","-292","2002-03"
"1610612738","Boston Celtics","82","44","38","0.537","3966","2700","6509","0.415","719","2155","0.334","1480","1994","0.742","7599","-32","2002-03"
"1610612741","Chicago Bulls","82","30","52","0.366","3985.38333333333","2991","6714","0.445","349","997","0.35","1455","2014","0.722","7786","-421","2002-03"
"1610612739","Cleveland Cavaliers","82","17","65","0.207","3966","2850","6746","0.422","293","897","0.327","1502","2012","0.747","7495","-789","2002-03"
"1610612742","Dallas Mavericks","82","60","22","0.732","3956","3161","6982","0.453","636","1668","0.381","1486","1793","0.829","8444","638","2002-03"
"1610612743","Denver Nuggets","82","17","65","0.207","3946","2689","6544","0.411","229","824","0.278","1294","1850","0.699","6901","-679","2002-03"
